displayItemCategoryId,metaCategoryId,treeCategoryName,feeCategoryName,feeCategoryId,categoryPath,capacityType,minPrice,warehousingConfiguredAmount,warehousingFinalAmount,fulfillmentConfiguredAmount,fulfillmentFinalAmount
63221,64221,전동드릴/해머드릴,전동드릴/해머드릴,9298,ROOT>생활용품>공구>전동공구>전동드릴/해머드릴,SMALL,50000,0,1750,0,2400
63221,64221,전동드릴/해머드릴,전동드릴/해머드릴,9298,ROOT>생활용품>공구>전동공구>전동드릴/해머드릴,SMALL,60000,0,1750,0,2400
63221,64221,전동드릴/해머드릴,전동드릴/해머드릴,9298,ROOT>생활용품>공구>전동공구>전동드릴/해머드릴,SMALL,80000,0,1750,0,2400
63222,64222,비트/플렉서블비트/홀쏘,비트/플렉서블비트/홀쏘,9286,ROOT>생활용품>공구>전동공구>비트/플렉서블비트/홀쏘,MINI,0,725,925,625,1575
63222,64222,비트/플렉서블비트/홀쏘,비트/플렉서블비트/홀쏘,9286,ROOT>생활용품>공구>전동공구>비트/플렉서블비트/홀쏘,MINI,10000,650,1000,625,1575
63222,64222,비트/플렉서블비트/홀쏘,비트/플렉서블비트/홀쏘,9286,ROOT>생활용품>공구>전동공구>비트/플렉서블비트/홀쏘,MINI,100000,0,1650,0,2200
63222,64222,비트/플렉서블비트/홀쏘,비트/플렉서블비트/홀쏘,9286,ROOT>생활용품>공구>전동공구>비트/플렉서블비트/홀쏘,MINI,15000,600,1050,625,1575
63222,64222,비트/플렉서블비트/홀쏘,비트/플렉서블비트/홀쏘,9286,ROOT>생활용품>공구>전동공구>비트/플렉서블비트/홀쏘,MINI,20000,550,1100,250,1950
63222,64222,비트/플렉서블비트/홀쏘,비트/플렉서블비트/홀쏘,9286,ROOT>생활용품>공구>전동공구>비트/플렉서블비트/홀쏘,MINI,30000,0,1650,0,2200
63222,64222,비트/플렉서블비트/홀쏘,비트/플렉서블비트/홀쏘,9286,ROOT>생활용품>공구>전동공구>비트/플렉서블비트/홀쏘,MINI,40000,0,1650,0,2200
63222,64222,비트/플렉서블비트/홀쏘,비트/플렉서블비트/홀쏘,9286,ROOT>생활용품>공구>전동공구>비트/플렉서블비트/홀쏘,MINI,5000,675,975,625,1575
63222,64222,비트/플렉서블비트/홀쏘,비트/플렉서블비트/홀쏘,9286,ROOT>생활용품>공구>전동공구>비트/플렉서블비트/홀쏘,MINI,50000,0,1650,0,2200
63222,64222,비트/플렉서블비트/홀쏘,비트/플렉서블비트/홀쏘,9286,ROOT>생활용품>공구>전동공구>비트/플렉서블비트/홀쏘,MINI,60000,0,1650,0,2200
63222,64222,비트/플렉서블비트/홀쏘,비트/플렉서블비트/홀쏘,9286,ROOT>생활용품>공구>전동공구>비트/플렉서블비트/홀쏘,MINI,80000,0,1650,0,2200
63222,64222,비트/플렉서블비트/홀쏘,비트/플렉서블비트/홀쏘,9286,ROOT>생활용품>공구>전동공구>비트/플렉서블비트/홀쏘,SMALL,0,600,1150,300,2100
63222,64222,비트/플렉서블비트/홀쏘,비트/플렉서블비트/홀쏘,9286,ROOT>생활용품>공구>전동공구>비트/플렉서블비트/홀쏘,SMALL,10000,400,1350,125,2275
63222,64222,비트/플렉서블비트/홀쏘,비트/플렉서블비트/홀쏘,9286,ROOT>생활용품>공구>전동공구>비트/플렉서블비트/홀쏘,SMALL,100000,0,1750,0,2400
63222,64222,비트/플렉서블비트/홀쏘,비트/플렉서블비트/홀쏘,9286,ROOT>생활용품>공구>전동공구>비트/플렉서블비트/홀쏘,SMALL,15000,400,1350,75,2325
63222,64222,비트/플렉서블비트/홀쏘,비트/플렉서블비트/홀쏘,9286,ROOT>생활용품>공구>전동공구>비트/플렉서블비트/홀쏘,SMALL,20000,375,1375,25,2375
